Name	Package	Protection
android.permission.MANAGE_HOTWORD_DETECTION	android	1028
android.permission.INSTALL_LOCATION_PROVIDER	android	18
com.google.android.voicesearch.AUDIO_FILE_ACCESS	com.google.android.googlequicksearchbox	2
android.permission.USE_RESERVED_DISK	android	18
android.permission.MANAGE_LOW_POWER_STANDBY	android	18
android.ext.services.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.android.ext.services	2
android.permission.START_ACTIVITY_AS_CALLER	android	2
android.permission.READ_RUNTIME_PROFILES	android	18
com.zhiliaoapp.musically.permission.wallpaper	com.zhiliaoapp.musically	2
android.permission.MANAGE_ACCOUNTS	android	
android.permission.CONTROL_WIFI_DISPLAY	android	2
com.android.vending.APP_ERRORS_SERVICE	com.google.android.gms	2
com.google.android.googleapps.permission.GOOGLE_AUTH.ah	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.cl	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.cp	com.google.android.gsf	2
com.google.android.googleapps.permission.GOOGLE_AUTH.ig	com.google.android.gsf	2
com.android.hotwordenrollment.okgoogle.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.android.hotwordenrollment.okgoogle	2
com.zhiliaoapp.musically.permission.WRITE_ACCOUNT	com.zhiliaoapp.musically	2
androidx.appcompat.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION	com.google.android.carrierlocation	2
android.permission.SYSTEM_ALERT_WINDOW	android	2530
android.permission.MONITOR_DEFAULT_SMS_PACKAGE	android	18
android.permission.INSTANT_APP_FOREGROUND_SERVICE	android	4194
android.permission.BIND_CARRIER_SERVICES	android	18
com.google.android.googleapps.permission.GOOGLE_AUTH.lh2	com.google.android.gsf	2
com.google.android.gsf.subscribedfeeds.permission.C2D_MESSAGE	com.google.android.gsf	2
android.permission.BROADCAST_PHONE_ACCOUNT_REGISTRATION	com.android.server.telecom	18
android.permission.BIND_MUSIC_RECOGNITION_SERVICE	android	2
android.permission.START_TASKS_FROM_RECENTS	android	33554450
android.permission.NFC_TRANSACTION_EVENT	android	
com.google.android.providers.talk.permission.WRITE_ONLY	com.google.android.gsf	1
android.permission.CONTROL_LOCATION_UPDATES	android	18
