Timestamp	Battery Level	Charge Type	Battery Saver	Timezone
2023-05-05 14:37:42	86			Australia/Perth
2023-05-05 15:59:55	85			Australia/Perth
2023-05-05 17:54:28	84			Australia/Perth
2023-05-05 19:58:30	83			Australia/Perth
2023-05-05 21:59:55	82			Australia/Perth
2023-05-05 23:37:15	81			Australia/Perth
2023-05-06 00:49:54	80			Australia/Perth
2023-05-06 02:27:52	79			Australia/Perth
2023-05-06 04:15:55	78			Australia/Perth
2023-05-06 05:26:42	77			Australia/Perth
2023-05-06 06:59:55	76			Australia/Perth
2023-05-06 08:29:55	75			Australia/Perth
2023-05-06 09:15:28	74			Australia/Perth
2023-05-06 10:19:55	73			Australia/Perth
2023-05-06 11:59:55	72			Australia/Perth
2023-05-06 12:49:55	71			Australia/Perth
2023-05-06 14:19:55	70			Australia/Perth
2023-05-06 15:44:48	69			Australia/Perth
2023-05-06 17:29:52	68			Australia/Perth
2023-05-06 19:18:37	67			Australia/Perth
2023-05-06 21:09:52	66			Australia/Perth
2023-05-06 22:46:53	65			Australia/Perth
2023-05-07 00:18:01	64			Australia/Perth
2023-05-07 01:48:22	63			Australia/Perth
2023-05-07 03:19:53	62			Australia/Perth
2023-05-07 04:39:53	61			Australia/Perth
2023-05-07 06:08:46	60			Australia/Perth
2023-05-07 07:06:12	59			Australia/Perth
2023-05-07 08:37:53	58			Australia/Perth
2023-05-07 09:57:34	57			Australia/Perth
2023-05-07 11:29:52	56			Australia/Perth
2023-05-07 12:55:40	55			Australia/Perth
2023-05-07 14:27:54	54			Australia/Perth
2023-05-07 15:24:01	53			Australia/Perth
2023-05-07 16:55:01	52			Australia/Perth
2023-05-07 18:29:53	51			Australia/Perth
2023-05-07 19:59:53	50			Australia/Perth
2023-05-07 21:28:24	49			Australia/Perth
2023-05-07 23:09:52	48			Australia/Perth
2023-05-08 00:09:52	47			Australia/Perth
2023-05-08 01:47:42	46			Australia/Perth
2023-05-08 03:24:52	45			Australia/Perth
2023-05-08 04:49:22	44			Australia/Perth
2023-05-08 06:00:59	43			Australia/Perth
2023-05-08 07:29:51	42			Australia/Perth
2023-05-08 09:00:35	41			Australia/Perth
2023-05-08 10:09:50	40			Australia/Perth
2023-05-08 11:39:50	39			Australia/Perth
2023-05-08 13:17:58	38			Australia/Perth
2023-05-08 14:49:50	37			Australia/Perth
2023-05-08 15:59:51	36			Australia/Perth
2023-05-08 16:59:50	35			Australia/Perth
2023-05-08 17:59:50	34			Australia/Perth
2023-05-08 19:09:50	33			Australia/Perth
2023-05-08 20:17:59	32			Australia/Perth
2023-05-08 21:26:22	31			Australia/Perth
2023-05-08 22:17:58	30			Australia/Perth
2023-05-08 23:17:59	29			Australia/Perth
2023-05-09 00:24:16	28			Australia/Perth
2023-05-09 01:29:51	27			Australia/Perth
2023-05-09 02:49:50	26			Australia/Perth
2023-05-09 03:30:59	25			Australia/Perth
2023-05-09 03:39:50	24			Australia/Perth
2023-05-09 03:57:46	23			Australia/Perth
2023-05-09 04:01:21	22			Australia/Perth
2023-05-09 04:05:29	21			Australia/Perth
2023-05-09 04:14:07	21	Charging Slowly		Australia/Perth
2023-05-09 04:14:44	21			Australia/Perth
2023-05-09 04:15:09	21	Charging Slowly		Australia/Perth
